Nº Colecção;ISBN;Título;Edição;Autor;Autor 2;Editora;Ano;Género;Idioma;Páginas;Localização;Estado;Observações;Valor;Capa (URL)
150-2062;9780500542323;Image and Enterprise;;Bergstein, Mary;O'Brien, Maureen C.;Thames & Hudson;2000;;;159;;Disponível;;;https://covers.openlibrary.org/b/id/317228-L.jpg
150-2063;9780500542163;Henri Cartier-Bresson;;Cartier-Bresson, Henri;Thames & Hudson;Thames & Hudson;1998;;;231;;Disponível;;;
150-2064;9780810968950;In/sight;;Enwezor, Okwui;Guggenheim Museum;Guggenheim Museum;1996;;;275;;Disponível;;;https://covers.openlibrary.org/b/id/14397462-L.jpg
150-2065;9780316922364;The West;;Ward, Geoffrey C.;Duncan, Dayton;Pub Overstock Unlimited Inc;1996;;;445;;Disponível;;;https://covers.openlibrary.org/b/id/191081-L.jpg
150-2066;9781919825717;The Black And White Fifties Jurgen Schadebergs South Africa;;Schadeberg, Jurgen;Protea Boekhuis;Protea Boekhuis;2012;;;125;;Disponível;;;https://covers.openlibrary.org/b/id/7870278-L.jpg
150-2067;9780075527138;No price too high;;Copp, J. T.;McGraw-Hill Ryerson;McGraw-Hill Ryerson;1996;;;255;;Disponível;;;https://covers.openlibrary.org/b/id/66331-L.jpg
150-2068;9788881580361;Giacomelli: La forma dentro / The inner form ;;Carli, Enzo;Edizioni Charta;Edizioni Charta;1996;;;248;;Disponível;;;https://covers.openlibrary.org/b/id/4885176-L.jpg
150-2069;9780226071466;Brassai;;Brassaï;Grenier, Roger;University of Chicago Press;1997;;;274;;Disponível;;;https://covers.openlibrary.org/b/id/139944-L.jpg
150-2070;9789722617123;1000 Obras-Primas da Pintura Ocidental;;Beckett, Wendy;;Livraria Civilização Editora;2000;Artes Plásticas;Português;512;;Disponível;;;
150-2071;9789723322637;Breve História da Pintura;;García Ponce de León, Paz;;Editorial Estampa;2007;Artes Plásticas;Português;256;;Disponível;;;
150-2072;9789724608624;Receitas Afrodisíacas & Desenhos Eróticos;;Praça, Afonso;;Editorial Notícias;1997;;Português;80;;Disponível;;;
150-2073;9789897650734;Desenho na Lello / Drawing at Lello;;Teles e Silva, Sónia;;Calendário de Letras;2019;;Português;65;;Disponível;;;
150-2074;9789897650741;Desenho nos Clérigos / Drawing at Clérigos;;Teles e Silva, Sónia;;Calendário de Letras;2019;;Português;101;;Disponível;;;
150-2075;9789895381098;Desenho no Palácio da Bolsa / Drawing at Palácio da Bolsa;;Teles e Silva, Sónia;;Primeira Edição;2025;;Português;156;;Disponível;;;
150-2076;9788495471642;Los años de guerra, 1970-2002;;Spengler, Christine;;La Fábrica Editorial;2004;Fotografia;Castelhano;226;;Disponível;;;
150-2077;9789728708375;As Ilhas das Especiarias;;Homem Cardoso, António;de Almeida, Lourenço;Sopa de Letras;2007;;Português;160;;Disponível;;;
150-2078;9788460796640;Breves como fotos: El retrato en la colección Fundación Televisa;;Garrido, Lola;;Fundación Foto Colectania;2004;Fotografia;Castelhano;;;Disponível;;;
150-2079;9782907754385;Inde: L'invitation au voyage;;Tubeuf, Chantal;Tubeuf, Bernard;Anako Éditions;1997;;Francês;120;;Disponível;;;
150-2080;9782866652142;Belem, Manaus, São Luis: Brésil équatorial;;Lapouge, Gilles;Hammadi, Rodolphe;Hermé;1996;;Francês;;;Disponível;;;
150-2081;9789723316582;Dicionário de Pintura – Século XIX;;Soto, Victoria;;Editorial Estampa;2001;Artes Plásticas;Português;374;;Disponível;;;
150-2082;9789727073382;O Nu;;de Almeida, Lourenço;;Plátano Editora;2002;Artes Plásticas;Português;96;;Disponível;;;
150-2083;9789724231327;Guia Exame: Os Melhores Vinhos de Portugal;;;;Editorial Verbo;2002;;Português;;;Disponível;;;
150-2084;9789895553709;Toda a Música que eu Conheço - 1º Volume;;Victorino de Almeida, António;;Oficina do Livro;2008;Música;Português;;;Disponível;;;
150-2085;9789899516830;Jazz em Cascais;;Moreira dos Santos, João;;Casa Sassetti;2009;Música;Português;176;;Disponível;;;
150-2086;9788497520072;Los Instrumentos del Pórtico de la Gloria (Tomo 1);;López-Calo, José;;Fundación Pedro Barrié de la Maza;2002;Música;Castelhano;;;Disponível;;;
150-2087;9788497520089;Los Instrumentos del Pórtico de la Gloria (Tomos 1 e 2);;López-Calo, José;Barreiro Fernández, Xosé Ramón;Fundación Pedro Barrié de la Maza;2002;Música;Castelhano;415;;Disponível;;;
150-2088;9788488959621;Gran Enciclopedia de la Música de la Comunidad Valenciana (Vol. 1);;;;Editorial Prensa Valenciana;1996;Música;Castelhano;;;Disponível;;;
150-2089;9791399082814;Transfiguración / Transfiguration;;Vasconcelos, Joana;;La Fábrica;2026;História de Arte;Espanhol/Inglês;93;;Disponível;;;
150-2090;9789895474943;Volker Schnüttgen: Escultura / Sculpture;;Schnüttgen, Volker;Rosenthal, Gisela;Astronauta Associação Cultural;2021;História de Arte;;96;;Disponível;;;
150-2091;9781905652235;Superbrands Portugal;;Vários;;Superbrands Portugal;2006;;;120;;Disponível;;;
150-2092;9789726629443;Lisboa Gráfica;;Paula, Manuela;;Gradiva;2003;;;168;;Disponível;;;https://img.wook.pt/images/lisboa-grafica-manuela-paula/MXw1OTkxN3w4OTk4NHwxNzc4MjIzOTU2MDAwfHdlYnA=/550x
150-2093;9788496411906;Arte, lujo y sociabilidad;;Vega, Jesusa;;Fundación Lázaro Galdiano;2009;;Espanhol;133;;Disponível;;;
150-2094;9782092900833;Histoire des perles;;Dubin, Lois Sherr;;Nathan Image;1988;;Francês;364;;Disponível;;;
150-2095;9789061535591;Tatu-Tattoo!;;Forment, Francina;;Musea voor Kunst;2004;;;240;;Disponível;;;
150-2096;9782355322921;La fabuleuse épopée des siphons à eau de Seltz;;Nortier, Frédéric;;Lelivredart;2018;;Francês;319;;Disponível;;;https://pictures.abebooks.com/isbn/9782355322921-fr.jpg
150-2097;9789069182223;Vreemde dingen: Surrealisme en design;;Wood, Ghislaine;te Duits, Thimo;Museum Boijmans Van Beuningen;2007;;;224;;Disponível;;;
150-2098;9782080113313;Un design américain : le streamline de 1930 à nos jours;;Hanks, David A.;;Flammarion;2005;;Francês;279;;Disponível;;;
150-2099;;Emiel Veranneman. 50 jaar meubelcreaties;;Daenens, Lieven;"Claus, Hugo; Meuris, Jan";Gemeentekrediet / Snoeck-Ducaju & Zoon;1994;;Holandês/Francês/Inglês;325;;Disponível;;;
150-2100;9789722310758;Mobiliário Europeu: Arte Nova;;Selvafolta, Ornella;;Editorial Presença;1997;;Português;82;;Disponível;;;
150-2101;9782035091147;Le Mobilier Art Nouveau;;Selvafolta, Ornella;;Larousse;1985;;Francês;80;;Disponível;;;
150-2102;5605220164515;O Sentimento de Si: O Corpo, a Emoção e a Neurobiologia da Consciência;;Damásio, António;;Publicações Europa-América;2000;;Português;400;;Disponível;;;
150-2103;9783428409723;Pintando bodegón al óleo;;Parramón, José María;;Parramón Ediciones;1989;Pintura;Espanhol;64;;Disponível;;;
150-2104;9782850561863;Degas;;Bouret, Jean;;Daimon;1966;Pintores;Espanhol;272;;Disponível;Alfonso Pleguezuelo;5;https://atelierclassics.com/cdn/shop/files/Libro-Degas1.jpg?v=1765550307&width=800
150-2105;9780500180273;Gaugin;;Boudaille, Georges;;Daimon;1966;Pintores;Espanhol;272;;Disponível;Alfonso Pleguezuelo;10;https://pictures.abebooks.com/inventory/30538362097.jpg
150-2106;n/a;Leonardo da Vinci;;Bérence, Fred;;Daimon;1967;Pintores;Espanhol;272;;Disponível;Alfonso Pleguezuelo;5;https://images.cdn2.buscalibre.com/fit-in/360x360/59/0a/590ad6dcd8a953a8acd37ec2ad685de1.jpg
150-2107;n/a;Renoir;;Fosca, François;;Daimon;1970;Pintores;Espanhol;288;;Disponível;Alfonso Pleguezuelo;5;https://librosmelior.org/459836-superlarge_default_2x/renoir-francois-fosca-ref438407.jpg
150-2108;n/a;Goya ;;Chabrun, Jean-François;;Daimon;1966;Pintores;Espanhol;271;;Disponível;Alfonso Pleguezuelo;10;https://m.media-amazon.com/images/I/515SOelKD4L.jpg
150-2109;n/a;Van Gogh;;Cabanne, Pierre;;Daimon;1970;Pintores;Espanhol;288;;Disponível;Alfonso Pleguezuelo;;
150-2110;n/a;Rembrandt;;Müller, Joseph-Émile;;Daimon;1969;Pintores;Espanhol;272;;Disponível;Alfonso Pleguezuelo;;
150-2111;n/a;Pompeya y Herculano;1ª edição;Brion, Marcel;;Editorial Argos;1961;História;Espanhol;234;;Disponível;Alfonso Pleguezuelo;10;https://cloud10.todocoleccion.online/libros-segunda-mano-historia-antigua/tc/2021/12/14/17/306795168.jpg
150-2112;n/a;Venecia: la máscara de Italia;1ª edição;Brion, Marcel;;IberLibro;1962;História;Espanhol;224;;Disponível;Alfonso Pleguezuelo;15;https://pictures.abebooks.com/inventory/31732845972.jpg
150-2113;n/a;Tradición y renovación. Cerámica aragonesa en la Fundación La Fontana;;Zamora, María Isabel Álvaro;Cerdà i Mellado, Josep Antoni  e Sánchez-Cabezudo, Ángel;Fundación La Fontana;2022;Azulejaria;Espanhol;287;;Disponível;Alfonso Pleguezuelo;;
150-2114;n/a;Pintores del Reinado de Felipe III;;"Urrea, Jesús; Turina, Miguel Morán; Orihuela, Mercedes";;Museo del Prado e Fundación El Monte;1993;História de Arte;Espanhol;134;;Disponível;Alfonso Pleguezuelo;;https://content.gnoss.ws/bm/imagenes/Documentos/imgsem/6f/6f44/6f442e24-8bc5-438e-9b4b-8eb4494a3f94/357c6daa-f637-4be6-8622-d64a38a9682f_832.jpg
150-2115;n/a;Fragmentos de Eternidade: Imagens da virgem na pintura europeia (séculos XVI-XIX);;Falcão, José António;;Casa dos Patudos;2005;História de Arte;Português;51;;Disponível;Alfonso Pleguezuelo;;https://biblioteca.patrimoniocultural.gov.pt/catalogo/winlibimg.aspx?skey=BA7E2E894E29461596580E21EFD8DA09&doc=19953&img=592&thb=1&pag=1&res=400
150-2116;n/a;Laude Sepulcral de Íñigo Lopes. Obra de Niculoso Pisano. Historia y Restauración;;Pleguezuelo, Alfonso;;Real Maestranza de Caballería de Sevilla;2019;Azulejaria;Espanhol;147;;Disponível;Alfonso Pleguezuelo;;https://asociacionpisano.es/wp-content/uploads/2019/05/WhatsApp-Image-2019-05-17-at-00.33c.gif
150-2117;9728137230;Faiança de Estremoz;; Monteiro, João Pedro et al;;Museu Nacional do Azulejo;1995;Azulejaria;Português;96;;Disponível;Alfonso Pleguezuelo;40;https://www.bidantiques.pt/web/images/vm/product/2022.324.0048.jpg
150-2118;8445100270;Cerámica aplicada en la arquitectura madrileña;;Perla, Antonio;;Comunidad de Madrid;1988;Azulejaria;Espanhol;210;;Disponível;Alfonso Pleguezuelo;30;https://pictures.abebooks.com/inventory/32402768408.jpg
150-2119;n/a;Desenhos dos Galli Bibiena;;Beaumont, Maria Alice;;Museu Nacional de Arte Antiga;1987;Teatro;Português;123;;Disponível;Alfonso Pleguezuelo;;
150-2120;n/a;Exposición monográfica de azulejería talaverana, siglos XVI-XX;;Garrido, Mariano Maroto;;Asociación de Etnología de Castilla-La Mancha;1989;Azulejaria;Espanhol;41;;Disponível;Alfonso Pleguezuelo;;
150-2121;n/a;A faiança do Rato na colecção Artur Maldonado Freitas;;Meco, José;;Museu de Cerâmica das Caldas da Rainha;1984;Azulejaria;Português;77;;Disponível;Alfonso Pleguezuelo;15;https://pictures.abebooks.com/inventory/30625308951.jpg
150-2122;n/a;Sevilla: La ciudad de la vida;;"Junco, Antonio del; Robles, Francisco";;Páginas del Sur;2011;Fotografia;Espanhol;144;;Disponível;Alfonso Pleguezuelo;10;https://libreriaraimundo.com/imagenes/A-LSEV-1651.jpg
150-2123;n/a;Palacios y museos del Patrimonio Nacional;1ª edição;Simón, Conrado Morterero et al;; Editorial Patrimonio Nacional;1970;Património edificado;Espanhol;549;;Danificado;Alfonso Pleguezuelo;10;https://pictures.abebooks.com/inventory/31311811745.jpg
150-2124;9788471422446;El misterio de las grandes civilizaciones desaparecidas;1ª edição;AA.VV;;Selecciones del Reader's Digest;1981;História ;Espanhol;320;;Disponível;Alfonso Pleguezuelo;5;https://www.bidantiques.pt/web/images/vm/product/2022.305.0064.jpg
150-2125;9788471204950;A Shared History: Treasures from the Royal Palaces of Spain;;"García, Pilar Benito; Soler, Álvaro; Pereira, João Castel-Branco";;Patrimonio Nacional / Museu Calouste Gulbenkian;2014;Museus e Colecções;Inglês;359;;Disponível;Alfonso Pleguezuelo;15;https://gulbenkian.pt/museu/wp-content/uploads/sites/5/2014/10/CapaING_2-page-001.511_23_773_970-768x918.jpg
150-2126;0934516464;Museums Discovered: O Museu Calouste Gulbenkian;;"Goffen, Rona; Soucek, Priscilla; Ferreira, Maria Teresa ";;Woodbine Books / Shorewood Fine Art Books;1982;Museus e Colecções;Português;208;;Disponível;Alfonso Pleguezuelo;5;https://m.media-amazon.com/images/I/714rR0Fbg0L._SL1000_.jpg
150-2127;0064301036;Helen Frankenthaler prints, 1961-1979.;;Helen Frankenthaler;;Published in association with Williams College, Harper & Row;1980;;Inglês;144;;Disponível;;;
150-2128;0060910623;POPism;;Andy Warhol;Harper & Row;Harper & Row;1983;Pintores;Inglês;310;;Disponível;;;https://covers.openlibrary.org/b/id/4941019-L.jpg
150-2129;0091445809;Popism;;Andy Warhol;Hutchinson;Hutchinson;1981;Pintores;Inglês;310;;Disponível;;;
150-2130;0897972562;Tom Otterness: Free Money and Other Fairy Tales;;Tom Otterness;Kuspit, Donald;Marlborough Gallery;2004;;Inglês;40;;Disponível;;;
150-2131;9728760043;Albane Chotard, João Moreno;;"Albane Chotard; João Moreno";Galeria Fernando Santos;Galeria Fernando Santos;2003;;Português / Inglês;54;;Disponível;;;
150-2132;9729140421;Júlio Pomar: Obra Gráfica;;Júlio Pomar;"Soares, Acácio; Guimarães, Danilo";Câmara Municipal da Figueira da Foz;2003;;Português;117;;Disponível;;;
150-2133;0897972740;Alberto Magnelli: Peintures et dessins 1913-1968;;Alberto Magnelli;Abadie, Daniel;Marlborough Monaco;2004;;Francês;;;Disponível;;;
150-2134;9789892008240;Manuel d'Assumpção (1926-1969);;Manuel d'Assumpção;Porfírio, José Luís;Galeria d'Arte São Mamede;2007;;Português;;;Disponível;;;
150-2135;9788880161325;Mimmo Paladino: I Dormienti (The Sleepers);;Mimmo Paladino;Paparoni, Demétrio;Alberico Cetti Serbelloni Editore;2000;;Italiano / Inglês;128;;Disponível;;;
150-2136;9789727392766;Fernando Lemos: À Sombra da Luz – Desenho e Fotografia;;Fernando Lemos;;Caminho / Fundação Calouste Gulbenkian;2006;;Português;;;Disponível;;;
150-2137;9789727001712;História da Arte Portuguesa - Vol. III: Do Barroco à Contemporaneidade;;Pereira, Paulo;;Círculo de Leitores;1995;;Português;;;Disponível;;;
150-2138;9729902844;Júlio Pomar;;Júlio Pomar;;Câmara Municipal de Amarante / Museu Municipal Amadeo de Souza-Cardoso;2003;;Português;76;;Disponível;;;
150-2139;9789892011431;Pedro Calapez – Abstract;;Pedro Calapez;Vidal, Julio César Abad;Galeria Presença / MPPC;2008;;Espanhol / Inglês;135;;Disponível;;;
150-2140;9789893598924;Rastos e Fragmentos;;Rui Aguiar;;Município de Aveiro / Galeria Municipal;2025;;Português;219;;Disponível;;;
150-2141;9728854102;Chagall: Obra Gráfica, 1951-1964;;Marc Chagall;;Fundação Eugénio de Almeida;1999;;Português;;;Disponível;;;
150-2142;2865740234;Hervé Télémaque (Monographie);;Hervé Télémaque;Moulin, Raoul-Jean;Musée d'Art Moderne de la Ville de Paris / Éditions Galilée;1995;;Francês;81;;Disponível;;;
150-2143;9789892068206;Terreiro do Paço, Praça do Comércio;;;;Edições do Património / Biblioteca Nacional de Portugal;2017;;Português;;;Disponível;;;
150-2144;9780500202494;Hellenistic sculpture;;Smith, R. R. R.;Thames and Hudson;Thames and Hudson;1991;Escultura;;287;;Disponível;;;https://covers.openlibrary.org/b/id/6653959-L.jpg
150-2145;9780500201985;Greek sculpture;;Boardman, John;Thames and Hudson;Thames and Hudson;1985;Escultura;;252;;Disponível;;;https://covers.openlibrary.org/b/id/315994-L.jpg
150-2146;9780500278765;Understanding Greek Sculpture;;Spivey, Nigel;Thames & Hudson;Thames & Hudson;1997;Escultura;;240;;Disponível;;;https://covers.openlibrary.org/b/id/316495-L.jpg
150-2147;9780300052084;Greek Sculpture;;Steward, Andrew;Yale University Press;Yale University Press;1993;Escultura;;800;;Disponível;;;https://covers.openlibrary.org/b/id/2354295-L.jpg
150-2148;9783822870341;Sculpture;;Bresc-Bautier, Genevieve;Bernard Ceysson;Benedikt Taschen Verlag;1999;Escultura;;608;;Disponível;;;https://covers.openlibrary.org/b/id/3274239-L.jpg
150-2149;9780140137019;Sculpture;;Wittkower, Rudolf;Penguin Books;Penguin Books;1991;Escultura;;288;;Disponível;;;
150-2150;9780500271049;The Language of Sculpture, With 155 Illustrations;;Tucker, William;Thames & Hudson;Thames & Hudson;1985;Escultura;;174;;Disponível;;;https://covers.openlibrary.org/b/id/316286-L.jpg
150-2151;9780192842282;Sculpture 1900-1945;;Curtis, Penelope;Oxford University Press;Oxford University Press;1999;Escultura;;286;;Disponível;;;
150-2152;9780192842053;Sculpture since 1945;;Causey, Andrew;Oxford University Press;Oxford University Press;1998;Escultura;;299;;Disponível;;;https://covers.openlibrary.org/b/id/1123111-L.jpg
150-2153;9780500200148;A concise history of modern sculpture;;Read, Herbert Edward;Thames and Hudson;Thames and Hudson;1983;Escultura;;310;;Disponível;;;https://covers.openlibrary.org/b/id/315911-L.jpg
150-2154;9780789203809;Shingu;;Susumu Shingu;Abbeville Press;Abbeville Press;1997;Escultura;;287;;Disponível;;;https://covers.openlibrary.org/b/id/1486710-L.jpg
150-2155;9780521413329;The art of stoneworking;;Rockwell, Peter;Cambridge University Press;Cambridge University Press;1993;Escultura;;319;;Disponível;;;https://covers.openlibrary.org/b/id/13303261-L.jpg
150-2156;9780984780815;CRYSTAL PHOENIX ANCIENT ART;;Yubero, Helene;Electrum, Exclusive Agent;Electrum, Exclusive Agent;2012;Escultura;;;;Disponível;;;
150-2157;9780974960791;Material;;Mitchell-Innes & Nash;Mithcell-Innes & Nash;Mithcell-Innes & Nash;2007;Escultura;;;;Disponível;;;
150-2158;9780300055566;Materials of Sculpture;;Penny, Nicholas;Yale University Press;Yale University Press;1993;Escultura;;328;;Disponível;;;https://covers.openlibrary.org/b/id/14325795-L.jpg
150-2159;9780297823971;The body in sculpture;;Flynn, Tom;G. Weidenfeld and Nicholson;G. Weidenfeld and Nicholson;1998;Escultura;;176;;Disponível;;;https://covers.openlibrary.org/b/id/14886246-L.jpg
150-2160;9789893100219;Obras-primas da arte portuguesa;;Caetano, Joaquim Oliveira;Athena;Athena;2011;Escultura;;126;;Disponível;;;
150-2161;9780981562292;Prospect.1 New Orleans;;Bloemink, Barbara J.;Dan Cameron;Picturebox;2008;Escultura;;399;;Disponível;;;
150-2162;9782711842599;Connivence (bilingue anglais) ;;Biennale d'art contemporain (Lyon, France) (6th 2001);Réunion des Musées Nationaux;Réunion des Musées Nationaux;2001;Escultura;;320;;Disponível;;;https://covers.openlibrary.org/b/id/3120737-L.jpg
150-2163;9788490957844;Gargolarium: Guia visual del estudio iconográfico e iconológico;;González Munuera, José Luis;;Editorial Círculo Rojo;2015;Escultura;Espanhol;570;;Disponível;;;
150-2164;9783406483554;The Munich Glyptothek: Greek And Roman Sculpture – A brief guide;;Ohly, Dieter;;C. H. Beck;2002;Escultura;Inglês;;;Disponível;;;
150-2165;9783406698668;Glyptothek, Munich: Masterpieces of Greek and Roman Sculpture;;Wünsche, Raimund;;C. H. Beck;2016;Escultura;Inglês;;;Disponível;;;
150-2166;9789021327679;Beeldhouwen in steen: Leer en ontdek de technieken;;Toner, Inge;;Cantecleer / VBK Media;1999;Escultura;Neerlandês;125;;Disponível;;;
150-2167;9789021331263;Het complete beeldhouwboek;;Camí, J. T. I.;Santamera, J. C.;Cantecleer / Tirion Uitgevers B.V.;2001;Escultura;Neerlandês;192;;Disponível;;;
150-2168;9789898771957;Adriano de Sousa Lopes: Conservação e restauro das obras académicas pertencentes ao espólio da Faculdade de Belas-Artes da Universidade de Lisboa;;Cardeira, Liliana et al;;CIEBA / Faculdade de Belas-Artes da Universidade de Lisboa (FBAUL);2018;Escultura;Português;;;Disponível;;;
150-2169;9788495951816;Art and utopia;;Chevrier, Jean-François;;MACBA, Museu d'Art Contemporani de Barcelona;2005;;;445;;Disponível;;;
150-2170;9782711837519;Millet, Van Gogh;;Van Tilborgh, Louis;;Réunion des musées nationaux;1998;;Francês;181;;Disponível;;;
150-2171;9780517599167;The spirit of African design;;Algotsson, Sharne;;Clarkson Potter;1996;Arte Africana;Inglês;176;;Disponível;;;https://covers.openlibrary.org/b/id/322648-L.jpg
150-2172;9780764306037;The bare truth - stars of burlesque of the '40s and '50s;;Rothe, Len;;Schiffer Pub.;1998;Fotografia;Inglês;111;;Disponível;;;https://covers.openlibrary.org/b/id/519478-L.jpg
150-2173;9789055941148;The Low Sky in Pictures;;Horst, Han van der;;Cyan Communications;2004;Fotografia;Inglês;144;;Disponível;;;https://covers.openlibrary.org/b/id/1050807-L.jpg
150-2174;9783908247210;Unclassified;;Rosenheim, Jeff;Eklund, Douglas;Scalo;2000;Fotografia;Inglês;247;;Disponível;;;
150-2175;9780893817756;From the heart;;Weinberg, Adam D.;;Art Museum of South Texas;1998;Fotografia;Inglês;95;;Disponível;;;https://covers.openlibrary.org/b/id/3795589-L.jpg
150-2176;9788588747012;Arte do encontro;;Garcez, Paulo;;Bem-Te-Vi;2002;Fotografia;Português;;;Disponível;;;
150-2177;9780007166367;The Times picture collection;;Harrison, Ian;;Times Books;2004;Fotografia;Inglês;216;;Disponível;;;https://covers.openlibrary.org/b/id/1059179-L.jpg
150-2178;9780520223783;John Vachon's America;;John Vachon;;University of California Press;2003;Fotografia;Inglês;354;;Disponível;;;https://covers.openlibrary.org/b/id/1266197-L.jpg
150-2179;9780968795804;Dawn of the 21st Century;;Klive, Alx;;Smashing Books;2000;Fotografia;Inglês;320;;Disponível;;;https://covers.openlibrary.org/b/id/4817928-L.jpg
150-2180;9780224042642;Bellocq;;E. J. Bellocq;;J. Cape;1996;Fotografia;Inglês;83;;Disponível;;;https://covers.openlibrary.org/b/id/138664-L.jpg
150-2181;9788589978057;Jean Manzon;;Jean Manzon;;Aprazivel Edicoes;2006;Fotografia;Inglês;239;;Disponível;;;
150-2182;9783869303239;Matthias Schaller;;Matthias Petrus Schaller;;Steidl;2015;Fotografia;Inglês;333;;Disponível;;;
150-2183;9780810946354;Only Skin Deep;;Fusco, Coco;Wallis, Brian;Harry N. Abrams;2003;Fotografia;Inglês;416;;Disponível;;;https://covers.openlibrary.org/b/id/596926-L.jpg
150-2184;9780811814201;Crossing the Frontier;;Betsky, Aaron;;Chronicle Books;1996;Fotografia;Inglês;180;;Disponível;;;https://covers.openlibrary.org/b/id/599719-L.jpg
150-2185;9780500974865;World Press Photo 2000;;World Press Photo Foundation;;Thames & Hudson;2000;Fotografia;Inglês;140;;Disponível;;;https://covers.openlibrary.org/b/id/317365-L.jpg
150-2186;9780500976234;World Press Photo 2003;;World Press Photo Foundation;;Thames & Hudson;2003;Fotografia;Inglês;140;;Disponível;;;https://covers.openlibrary.org/b/id/317385-L.jpg
150-2187;9780300097528;Portrait of the Art World;;Stapp, William F.;;Yale University Press;2002;Fotografia;Inglês;184;;Disponível;;;https://covers.openlibrary.org/b/id/162008-L.jpg
150-2188;9780847822911;India holy song;;Zimbardo, Xavier;;Rizzoli;2000;Fotografia;Inglês;143;;Disponível;;;https://covers.openlibrary.org/b/id/643765-L.jpg
150-2189;9780853316992;Sixties London;;Bohm, Dorothy;Hopkinson, Amanda;Lund Humphries;1996;Fotografia;Inglês;119;;Disponível;;;https://covers.openlibrary.org/b/id/1604128-L.jpg
150-2190;9780719058035;Domesday book;;Kennard, Peter;;Manchester University Press;1999;Fotografia;;181;;Disponível;;;https://covers.openlibrary.org/b/id/11406995-L.jpg
150-2191;9780762400898;Sisters;;Saline, Carol;Wohlmuth, Sharon J.;Running Pr Book Pub;1997;Fotografia;;132;;Disponível;;;https://covers.openlibrary.org/b/id/10448245-L.jpg
150-2192;9781862078499;Mostly Women;;Ward, Michael;;Granta Books;2006;Fotografia;;380;;Disponível;;;https://covers.openlibrary.org/b/id/13869824-L.jpg
150-2193;9783775710121;Jürgen Klauke - Absolute Windstille. Das fotografische Werk.;;Weibel, Peter;;Hatje Cantz Verlag;2001;Fotografia;;368;;Disponível;;;
150-2194;9783775708944;Point and Shoot;;Henry Bond;;Hatje Cantz Publishers;2000;Fotografia;Inglês;320;;Disponível;;10;https://covers.openlibrary.org/b/id/2238087-L.jpg
150-2195;9782234052864;Errances solaires;;Fernandez, Dominique;;Stock;2000;Fotografia;;159;;Disponível;;;https://covers.openlibrary.org/b/id/13870420-L.jpg
150-2196;9783823810001;Nadja Auermann;;Lindbergh, Peter;;Te Neues Publishing Company;2000;Fotografia;;144;;Disponível;;;https://covers.openlibrary.org/b/id/3274703-L.jpg
150-2197;9782842771577;New York creations;;Lefranc, David;;Editions du Chene;1999;Fotografia;;184;;Disponível;;;https://covers.openlibrary.org/b/id/2174088-L.jpg
150-2198;9788439324553;Hannah Collins;;Hannah Collins;;Generalitat de Catalunya, Departament de Cultura;1993;Fotografia;;127;;Disponível;;;
150-2199;9782858226658;Images au Centre 01;;France) Images au Centre (2001 Blois;;Centre de monuments nationaux/Monum, Editions du patrimoine;2001;Fotografia;;174;;Disponível;;;
150-2200;9780853317890;Dispatches from an unofficial war artist;;Kennard, Peter;;Lund Humphries;2000;Fotografia;;111;;Disponível;;;https://covers.openlibrary.org/b/id/4775404-L.jpg
150-2201;9780892363674;Roger Fenton;;Baldwin, Gordon;;J. Paul Getty Museum;1996;Fotografia;;116;;Disponível;;;
150-2202;3908163048;Shanghai;;Paoluzzo, Marco;;Edition Stemmle;2000;Fotografia;;132;;Disponível;;;https://covers.openlibrary.org/b/id/6463081-L.jpg
150-2203;9783931141905;Hart Island;;Hunt, Melinda;;Scalo Publishers;1998;Fotografia;;128;;Disponível;;;https://covers.openlibrary.org/b/id/2258696-L.jpg
150-2204;9780810967199;One man's eye;;Siegel, Alan M.;Barth, Miles;Harry N. Abrams;2000;Fotografia;;176;;Disponível;;;
150-2205;9788589978019;Brasil, rito e ritmo;;Kaz, Leonel;;Aprazivel Edições;2004;Fotografia;;237;;Disponível;;;
150-2206;9783775735766;Ahlam Shibli: Phantom Home;;Ahlam Shibli;;Hatje Cantz;2013;Fotografia;;200;;Disponível;;;
150-2207;9788882153342;Carlo Bevilacqua: Il profumo della fotografia;;Zannier, Italo;Carlo Bevilacqua;Silvana Editoriale;2001;Fotografia;;156;;Disponível;;;
150-2208;9788489913370;Retratos: La mujer en el proyecto Hombres del siglo XX;;August Sander;;La Fábrica Editorial / Fundación Banco Santander;1999;;;152;;Disponível;;;
150-2209;9789729766509;CAGED;;Alexandre Baptista;Rodrigues, Sérgio Fazenda;Edição de autor;2021;;;;;Disponível;;;
150-2210;9788488786708;Bajo el Mismo Cielo: El Cairo;;Shaath, Randa;;Ediciones Polígrafa / FisicalBook;2003;Fotografia;Espanhol;128;;Disponível;;25;https://pictures.abebooks.com/isbn/9788488786708-us.jpg
150-2211;9788460975298;Una pasión suiza. Colección M.+M. Auer (una selección);;Michel e Michèle Auer;;Fundació Foto Colectania;2005;Fotografia;Espanhol;;;Disponível;;;https://cdn.wallapop.com/images/10420/3y/g4/__/c10420p239258192/i613794797.jpg?pictureSize=W640
150-2212;9789722515177;Dom Duarte e a democracia;;Mendo Castro Henriques;Bertrand Editora;Bertrand Editora;2006;;;470;;Disponível;;;https://covers.openlibrary.org/b/id/12186781-L.jpg
