Nº Colecção;ISBN;Título;Edição;Autor;Autor 2;Editora;Ano;Género;Idioma;Páginas;Localização;Estado;Observações;Valor;Capa (URL)
150-569;9782080112217;Tout l'oeuvre peint de Schiele;;Schiele, Egon;Flammarion;Flammarion;1983;;;126;;Disponível;;;https://covers.openlibrary.org/b/id/12651226-L.jpg
150-570;9780981457857;Norbert Schwontkowski;;Schwontkowski, Norbert;& Nash, Mitchell-Innes;Mitchell-Innes & Nash;2010;;;88;;Disponível;;;
150-571;9782868820860;Sean Scully;;Scully, Sean;Lelong, Galerie;Galerie Lelong;2008;;;53;;Disponível;;;https://covers.openlibrary.org/b/id/13270072-L.jpg
150-572;3922660568;Sava Sekulic;;Sekulic, Sava;und Bose, Brinkmann;Brinkmann und Bose;1993;;;;;Disponível;;;
150-573;9788560528011;Sérgio Monteiro de Almeida;;Monteiro de Almeida, Sérgio;Editorial, Quadrante;Quadrante Editorial;2007;;;157;;Disponível;;;
150-574;9780500200322;Seurat;;Russell, John;and Hudson, Thames;Thames and Hudson;1965;;;286;;Disponível;;;https://covers.openlibrary.org/b/id/9806426-L.jpg
150-575;9781886069152;Form of beauty;;V. Tripurari, B.;Pub. Group, Mandala;Mandala Pub. Group;1998;;;175;;Disponível;;;https://covers.openlibrary.org/b/id/933429-L.jpg
150-576;3927789968;Sigmar Polke, laterna magica;;Polke, Sigmar;Portikus;Portikus;1995;;;55;;Disponível;;;
150-577;190462121X;Sigrid Holmwood;;Holmwood, Sigrid;Juda Fine Art, Annely;Annely Juda Fine Art;2008;;;53;;Disponível;;;
150-578;8570830467;Siron Franco - Figures and Likenesses;;Ades, Dawn;Books Intl Ltd, Art;Art Books Intl Ltd;1996;;;240;;Disponível;;;
150-579;9781930743793;Sol LeWitt;;LeWitt, Sol;PaceWildenstein;PaceWildenstein;2007;;;58;;Disponível;;;
150-580;8020700420;Jiri Sopko;;Kroutvor, Josef;Odeon;Odeon;1990;;;117;;Disponível;;;
150-581;9780714828107;Stanley Spencer;;Robinson, Duncan;Phaidon;Phaidon;1990;;;128;;Disponível;;;https://covers.openlibrary.org/b/id/453438-L.jpg
150-582;0941434923;Frank Stella;;Rubin, Lawrence;Stewart, Tabori & Chang;Stewart, Tabori & Chang;1986;;;279;;Disponível;;;
150-583;9781566409803;Joseph Stella's symbolism;;B. Jaffe, Irma;Artbooks, Pomegranate;Pomegranate Artbooks;1994;;;34;;Disponível;;;https://covers.openlibrary.org/b/id/8551586-L.jpg
150-584;0933920407;The prints of Frank Stella;;H. Axsom, Richard;Hills Press, Hudson;Hudson Hills Press;1983;;;192;;Disponível;;;https://covers.openlibrary.org/b/id/9270261-L.jpg
150-585;9780983352525;Frank Stella;;Stella, Frank;& M Arts, L;L & M Arts;2012;;;80;;Disponível;;;
150-586;0262121352;Varvara Stepanova;;Lavrentiev, Alexander;Press, MIT;MIT Press;1988;;;190;;Disponível;;;
150-587;0897972457;Stephen Conroy, recent paintings;;Stephen Conroy;Marlborough Gallery, Inc;Marlborough Gallery, Inc;2003;;;;;Disponível;;;https://covers.openlibrary.org/b/id/4442453-L.jpg
150-588;0896597555;Stuart Davis;;Wilkin, Karen;Press, Abbeville;Abbeville Press;1987;;;248;;Disponível;;;
150-589;0954544129;Susan Rothenberg.;;Susan Rothenberg;Waddington Galleries;Waddington Galleries;2003;;;;;Disponível;;;https://covers.openlibrary.org/b/id/6794912-L.jpg
150-590;1904621260;Suzanne Treister;;;;;;;;;;Disponível;;;
150-591;9631317862;Szasz Endre;;Szász, Endre;Corvina;Corvina;1983;;;155;;Disponível;;;
150-592;3775709649;Yves Tanguy und der Surrealismus.;;Davidson, Susan;Klapheck, Konrad;Hatje Cantz Verlag;2000;;;251;;Disponível;;;https://covers.openlibrary.org/b/id/8408003-L.jpg
150-593;9788480431774;Yves Tanguy;;;;;;;;;;Disponível;;;
150-594;9788434310018;Antoni Tapies;;Luc Chalumeau, Jean;Poligrafa, Ediciones;Ediciones Poligrafa;2007;;;63;;Disponível;;;
150-595;0954812670;Antoni Tapies;;Antoni Tapies;Waddington Galleries;Waddington Galleries;2005;;;87;;Disponível;;;
150-596;0954998235;Antoni Tapies;;Antoni Tapies;Waddington Galleries;Waddington Galleries;2006;;;56;;Disponível;;;https://covers.openlibrary.org/b/id/13858867-L.jpg
150-597;9782868820778;Tapiès;;Tàpies, Antoni;Lelong, Galerie;Galerie Lelong;2006;;;61;;Disponível;;;
150-598;0900946873;Terry Frost, Six Decades;;Terry Frost;Mel Gooding;Royal Academy of Arts;2000;;;86;;Disponível;;;https://covers.openlibrary.org/b/id/5361877-L.jpg
150-599;1904372031;Therese Oulton;;Gidal, Peter;Fine Art (London) Ltd, Marlborough;Marlborough Fine Art (London) Ltd;2003;;;36;;Disponível;;;
150-600;9780714837147;Thomas Schütte;;Schütte, Thomas;Phaidon;Phaidon;1998;;;160;;Disponível;;;https://covers.openlibrary.org/b/isbn/9780714837147-L.jpg
150-601;9782213026886;Titien;;Zuffi, Stefano;Fayard;Fayard;1991;;;346;;Disponível;;;https://covers.openlibrary.org/b/id/3095012-L.jpg
150-602;9780813390437;Titian and Venetian painting, 1450-1590;;Cole, Bruce;Press, Westview;Westview Press;1999;;;264;;Disponível;;;https://covers.openlibrary.org/b/id/10260553-L.jpg
150-603;9788881181667;Giambattista Tiepolo;;Venise, Tiepolo/Cat.;Skira;Skira;1996;;;398;;Disponível;;;
150-604;0888842899;Etchings by the Tiepolos;;Knox, George;National Gallery of Canada : obtainable from National Museums of Canada;National Gallery of Canada : obtainable from National Museums of Canada;1976;;;167;;Disponível;;;https://covers.openlibrary.org/b/id/9270261-L.jpg
150-605;9780500080542;Tiepolo (Masters of Art);;L. Barcham, William;& Hudson Ltd, Thames;Thames & Hudson Ltd;1992;;;128;;Disponível;;;https://covers.openlibrary.org/b/id/2468597-L.jpg
150-606;9781851494576;Louis C. Tiffany;;Duncan, Alastair;Collectors' Club, Antique;Antique Collectors' Club;2004;;;671;;Disponível;;;https://covers.openlibrary.org/b/id/6650003-L.jpg
150-607;9780955493102;Tilson;;Tilson, Joe;Gooding, Mel;Waddington Galleries;2007;;;50;;Disponível;;;https://covers.openlibrary.org/b/id/13799103-L.jpg
150-608;9788496233348;Tintoretto, El paraso;;Habert, Jean-Pierre;Colección Thyssen-Bornemisza, Fundación;Fundación Colección Thyssen-Bornemisza;2006;;;183;;Disponível;;;
150-609;9788876660207;Jacopo Tintoretto and the scuola grande of San Rocco;;Valcanover, Francesco;Storti, Edizioni;Edizioni Storti;1991;;;127;;Disponível;;;https://covers.openlibrary.org/b/id/8205922-L.jpg
150-610;9782234043602;La folie Tintoretto;;Rezvani;Stock;Stock;1994;;;236;;Disponível;;;
150-611;0911291296;On Wanting to Grow Horns;;Ayres, Ann;of Contemporary Art, Fellows;Fellows of Contemporary Art;2002;;;128;;Disponível;;;
150-612;3822893420;Tom of Finland;;of Finland, Tom;Publishing, Taschen;Benedikt Taschen;1992;;;80;;Disponível;;;https://covers.openlibrary.org/b/id/7083523-L.jpg
150-613;9780988618886;Tom Wesselmann;;Wesselmann, Tom;Lobel, Michael;;2016;;;124;;Disponível;;;
150-614;9780847847945;Tom Wesselmann;;Davidson, Susan;Middleman, Rachel;Gagosian Gallery;2025;;;400;;Disponível;;;
150-615;9788448227043;Tony Oursler;;Oursler, Tony;Bellour, Raymond;Ediciones Poligrafa;2001;;;359;;Disponível;;;
150-616;0571138896;Fourteen letters;;Topolski, Feliks;and Faber, Faber;Faber and Faber;1988;;;;;Disponível;;;
150-617;9729693005;Eugeni Torrens;;Torrens, Eugeni;Artflow;Artflow;1996;;;300;;Disponível;;;
150-618;8434302063;Torres Garcia;;Jardi, Enric;Intl Pubns, Rizzoli;Rizzoli Intl Pubns;1984;;;;;Disponível;;;https://covers.openlibrary.org/b/id/13215188-L.jpg
